,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle,Layer At Peak Value_1-28,Layer At Peak Value_29-40,Energy At Peak Value_1-28,Energy At Peak Value_28_40
430,0.812431,2.0249,0.88845,0.928394,3.47281,1.15638,1.00194,1.29349,1.18036,0.731624,1.18858,1.24745,1.0108,1.18862,1.1578,1.65813,1.21682,0.99873,0.95287,1.1496,3.64381,1.01714,2.5049,0.782239,1.89429,2.5405,3.58443,2.8331,2.77176,9.56998,5.00725,5.13113,11.3451,9.44572,4.91132,3.49378,6.39586,2.61137,1.92701,2.03357,200,muon,21,5,3.64381,11.3451
431,2.81122,0.970693,1.15369,2.34579,1.40214,0.945192,2.43171,24.2876,23.5514,8.21529,20.0262,16.845,24.9732,14.1567,27.8414,7.37342,37.3593,31.7064,27.4916,8.02187,4.61881,10.601,7.48843,3.10441,2.14527,1.78056,4.56145,2.983,7.15878,4.33824,3.78899,2.84238,9.57646,8.97033,13.3023,6.5626,6.68137,2.19565,2.57435,2.21266,200,muon,17,7,37.3593,13.3023
432,1.37881,1.04745,1.56015,1.18039,1.12077,1.73317,2.02596,0.973533,1.03028,1.35964,3.58992,2.59208,1.15515,1.03882,1.91263,2.98398,0.988898,1.02795,18.9108,0.86748,1.25519,1.43578,1.14088,1.05573,1.01802,2.0002,3.801,2.87209,4.29872,2.25786,0.928364,2.59377,12.561,3.35143,14.2376,9.29137,11.6753,1.77305,1.11709,1.07494,200,muon,19,7,18.9108,14.2376
433,0.954574,2.90629,0.948597,1.51042,0.832832,2.42248,1.36807,1.51457,0.964337,1.30229,2.01727,1.14992,0.986803,2.07303,1.07651,0.928439,0.777577,1.33803,14.298,0.806887,1.1995,1.12542,1.76621,1.13713,3.12904,2.39838,4.20305,3.07373,3.5473,5.85559,8.68468,2.97968,8.33503,8.07419,13.8468,5.24573,8.61755,1.76545,0.0,2.10425,200,muon,19,7,14.298,13.8468
434,1.23689,1.06785,0.833652,1.39565,1.0874,0.849007,1.02453,3.0697,0.720124,0.971645,1.49452,2.03356,0.873712,2.21824,0.893207,1.43448,2.04524,1.34313,14.2298,1.31723,0.931564,1.38862,0.0,0.854591,2.51586,1.76398,1.99988,5.50862,2.13786,5.75454,3.02098,2.85005,10.7073,12.3291,11.8944,10.2993,6.44225,2.09674,1.00955,2.63583,200,muon,19,6,14.2298,12.3291
435,1.02834,1.01706,1.23514,1.83823,1.23965,3.49412,0.837177,1.3421,0.813346,2.14357,3.5995,2.51911,1.03769,1.78535,1.12341,0.876343,1.35386,1.03492,14.6175,1.48251,1.55362,0.758085,1.19403,1.09042,2.0626,2.3598,4.38242,2.40378,7.9885,4.88934,4.54724,4.23963,8.87182,8.74526,12.5616,6.85006,5.70267,1.73933,1.05639,2.16938,200,muon,19,7,14.6175,12.5616
436,0.871825,3.26569,2.04093,1.23134,1.08994,2.07973,2.17254,0.716594,1.51041,0.906611,0.749085,2.71949,0.84296,0.866059,0.935956,0.760276,1.29753,2.98005,1.0702,0.82753,2.67421,1.09165,0.935502,1.06332,2.3614,0.598667,3.30314,0.702271,26.0312,12.0129,22.2025,486.119,304.205,449.174,223.97,108.022,48.3077,13.0557,24.2526,86.6984,200,muon,27,4,3.30314,486.119
437,1.45035,1.10169,1.02464,0.887347,1.16327,1.45817,0.857179,1.07619,1.44936,1.46492,0.851003,2.10618,0.904791,1.16546,0.790612,1.4204,2.06658,0.948509,13.2877,1.58021,1.12322,1.12207,1.19718,2.14748,2.50069,0.958045,2.8233,5.85225,5.62287,4.99194,3.22072,2.27411,6.75688,8.42471,12.8414,12.8077,4.76682,2.64932,1.03916,2.92478,200,muon,19,7,13.2877,12.8414
438,1.23801,2.36648,1.18409,3.56668,0.758985,0.797028,1.08314,1.107,0.729093,1.16242,1.89012,2.13539,1.07407,2.02459,1.01652,1.10403,1.06276,1.04327,13.9221,0.874063,1.06751,1.08895,1.12183,1.10741,2.35817,4.35526,2.24535,2.54216,5.17554,5.76751,2.92711,3.405,8.24908,9.77086,15.9348,7.04111,7.46183,2.12175,0.0,12.1126,200,muon,19,7,13.9221,15.9348
439,1.27428,3.5497,0.803559,3.2478,1.05563,3.2207,3.07323,1.73935,1.28531,1.82988,0.838513,1.16725,1.43632,2.28792,0.789539,3.85354,19.7854,26.3979,34.0264,23.136,11.7356,2.65568,13.3565,12.0955,26.8882,2.38925,2.7685,4.86417,6.56776,3.03126,6.1889,4.19336,12.866,11.2269,9.67474,5.96903,4.51832,2.26949,0.837662,3.72591,200,muon,19,5,34.0264,12.866
